source_name,entwine_asset_code,asset_type,building_code,meter_type,parent_asset,source_of_truth,confidence,notes
POWERHOUSE_1,PH-01,building,PH-01,,,dataset folder name + mentor seed,confirmed,"Top-level powerhouse building. ENTWINE building_code = PH-01."
POWERHOUSE_1.POWERHOUSE_1_INCOMER,PH-01-MAIN,meter_candidate,PH-01,main,,dataset + mentor seed,pending_mentor_confirmation,"Most plausible physical mapping to the mentor-seeded PH-01-MAIN meter (named INCOMER = incoming electrical connection). Requires mentor confirmation of the physical topology before this mapping is treated as fact."
POWERHOUSE_1.MAIN_VCB,PH-01-MAIN-VCB,switchgear,PH-01,,,dataset,strong_inference,"VCB = Vacuum Circuit Breaker — a monitored electrical switchgear entity. Appears in alarm/event history. Not seeded in equipment table until mentor confirms how switchgear should be represented in the four-table schema."
POWERHOUSE_1.A_BLOCK,PH-01-A,meter_candidate,PH-01,sub_panel,PH-01-MAIN,dataset,strong_inference,"Load block measured in the dataset. Strong candidate for one of the mentor's '8 meters'. Not seeded until 8-meter topology is confirmed."
POWERHOUSE_1.B_BLOCK,PH-01-B,meter_candidate,PH-01,sub_panel,PH-01-MAIN,dataset,strong_inference,"Load block measured in the dataset. Strong candidate for one of the mentor's '8 meters'. Not seeded until 8-meter topology is confirmed."
POWERHOUSE_1.B_BLOCK_UPS,PH-01-B-UPS,meter_candidate,PH-01,sub_panel,PH-01-B,dataset,strong_inference,"UPS sub-circuit under B-Block. May be a sub-panel meter beneath PH-01-B. Not seeded until topology is confirmed."
POWERHOUSE_1.C_BLOCK,PH-01-C,meter_candidate,PH-01,sub_panel,PH-01-MAIN,dataset,strong_inference,"Load block measured in the dataset. Strong candidate for one of the mentor's '8 meters'. Not seeded until 8-meter topology is confirmed."
POWERHOUSE_1.D_BLOCK,PH-01-D,meter_candidate,PH-01,sub_panel,PH-01-MAIN,dataset,strong_inference,"Load block measured in the dataset. Strong candidate for one of the mentor's '8 meters'. Not seeded until 8-meter topology is confirmed."
POWERHOUSE_1.E_BLOCK,PH-01-E,meter_candidate,PH-01,sub_panel,PH-01-MAIN,dataset,strong_inference,"Load block measured in the dataset. Strong candidate for one of the mentor's '8 meters'. Not seeded until 8-meter topology is confirmed."
POWERHOUSE_1.LIGHTING,PH-01-LTG,meter_candidate,PH-01,sub_panel,PH-01-MAIN,dataset,strong_inference,"Lighting circuit measured in the dataset. Strong candidate for one of the mentor's '8 meters'. Not seeded until 8-meter topology is confirmed."
POWERHOUSE_1.DG_1,PH-01-DG1,equipment_candidate,PH-01,,,dataset + power quality incidents,strong_inference,"Diesel Generator — monitored for under-voltage and communication events (confirmed in incident/event history). Classified as equipment (generation asset), not a standard load meter. Not seeded in equipment table because rated_power_kw is unknown. Pending mentor confirmation of type and engineering values."
POWERHOUSE_1.FROM_POWERHOUSE_2,TBD,feeder,PH-01,,,dataset,pending_mentor_confirmation,"Incoming feeder from a second powerhouse. Not a standard sub-meter or equipment. The Module 1 schema has no dedicated feeder table. Do not add to meters or equipment until mentor confirms the intended representation."
POWERHOUSE_1.TO_POWERHOUSE_2,TBD,feeder,PH-01,,,dataset,pending_mentor_confirmation,"Outgoing feeder to a second powerhouse. Same handling as FROM_POWERHOUSE_2 above — pending topology confirmation before any database record is created."
